top - 06:19:37 up 15:24,  3 users,  load average: 1.09, 0.30, 0.10
Tasks: 117 total,   4 running, 113 sleeping,   0 stopped,   0 zombie
%Cpu(s): 14.3 us, 28.6 sy,  0.0 ni,  0.0 id,  0.0 wa, 42.9 hi, 14.3 si,  0.0 st
MiB Mem :   1817.3 total,     69.9 free,   1707.3 used,     40.1 buff/cache
MiB Swap:    820.0 total,     18.1 free,    801.9 used.     15.6 avail Mem 

    694 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 xfsalloc
    695 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 xfs_mru_cache
    696 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 xfs-buf/dm-2
    697 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 xfs-conv/dm-2
    698 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 xfs-cil/dm-2
    699 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 xfs-reclaim/dm-
    700 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 xfs-eofblocks/d
    701 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 xfs-log/dm-2
    702 root      20   0       0      0      0 S   0.0   0.0   0:00.76 xfsaild/dm-2
    723 rpc       20   0   67176     20      0 S   0.0   0.0   0:00.16 rpcbind
    726 root      16  -4  141780      0      0 S   0.0   0.0   0:00.14 auditd
    728 root      16  -4   48816     88      0 S   0.0   0.0   0:00.01 sedispatch
    734 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rpciod
    735 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/u3:0
    738 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 xprtiod
    755 root      20   0   50660    116      0 S   0.0   0.0   0:00.09 smartd
    756 polkitd   20   0 1631456    264      0 S   0.0   0.0   0:00.22 polkitd
    757 dbus      20   0   91824   1316    764 S   0.0   0.1   0:00.31 dbus-daemon
    758 root      20   0  428756   1236    868 S   0.0   0.1   0:00.27 sssd
    760 root      20   0   18292      8      4 S   0.0   0.0   0:00.00 mcelog
    762 avahi     20   0   85328    128      0 S   0.0   0.0   0:00.05 avahi-daemon
    764 root      20   0  463016      0      0 S   0.0   0.0   0:00.07 ModemManager
    765 libstor+  20   0   19740     36      0 S   0.0   0.0   0:00.45 lsmd
    771 avahi     20   0   85196      0      0 S   0.0   0.0   0:00.00 avahi-daemon
    784 rngd      20   0  160144     40      0 S   0.0   0.0   0:09.16 rngd
    786 root      20   0  437312    936    664 S   0.0   0.1   0:01.65 sssd_be
    790 root      20   0  506324      0      0 S   0.0   0.0   0:00.95 firewalld
    791 root      20   0  438912   1376    992 S   0.0   0.1   0:02.11 sssd_nss
    793 root      20   0  105812    188      0 S   0.0   0.0   0:00.96 systemd-logind
    809 root      20   0  682120   1104      0 S   0.0   0.1   0:03.98 NetworkManager
    816 root      20   0  626400    560    100 S   0.0   0.0   0:16.85 tuned
    819 root      20   0   92320      0      0 S   0.0   0.0   0:00.02 sshd
    824 root      20   0  311552      0      0 S   0.0   0.0   0:00.00 gssproxy
   1044 root      20   0  246720   1124    868 S   0.0   0.1   0:00.33 crond
   1045 root      20   0   44004     52      0 S   0.0   0.0   0:00.01 atd
   1396 root      20   0  123056      0      0 S   0.0   0.0   0:00.01 login
